"NO_MUNICIPIO","NO_ENTIDADE","TP_DEPENDENCIA","IN_INTERNET"
"Recife","ESCOLA MUNICIPAL PROF JOSE LOURENCO DE LIMA",3,1
"Recife","ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS",3,1
"Recife","ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREYRE",3,1
"Recife","ESCOLA MUNICIPAL MUNDO ESPERANCA",3,1
"Recife","ESCOLA MUNICIPAL VIRGEM PODEROSA",3,1
"Recife","ESCOLA MUNICIPAL ALTO JARDIM PROGRESSO",3,1
"Recife","ESCOLA MUNICIPAL ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA",3,1
"Recife","ESCOLA MUNICIPAL OCTAVIO DE MEIRA LINS",3,1
"Recife","ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS",3,1
"Recife","ESCOLA MUNICIPAL MARGARIDA DE SIQUEIRA PESSOA",3,1
"Recife","ESCOLA MUNICIPAL CORREGO DA BICA",3,1
"Recife","EMTI ALTO DA GUABIRABA",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR CAETE",3,1
"Recife","ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA",3,1
"Recife","ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALAO",3,1
"Recife","ESCOLA MUNICIPAL POETA JOAQUIM CARDOSO",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR ADERBAL GALVAO",3,1
"Recife","EMTI PROFESSOR NILO PEREIRA",3,1
"Recife","ESCOLA MUNICIPAL SANTA MARIA GORETTI",3,1
"Recife","EMTI SAO CRISTOVAO",3,1
"Recife","ESCOLA MUNICIPAL MAURICIO DE NASSAU",3,1
"Recife","ESCOLA MUNICIPAL CORREGO DA AREIA",3,1
"Recife","ESCOLA MUNICIPAL JOSEFINA MARINHO",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR MAURO MOTA",3,1
"Recife","ESCOLA MUNICIPAL DOM JOSE LAMARTINE SOARES",3,1
"Recife","ESCOLA MUNICIPAL MANOEL ANTONIO DE FREITAS",3,1
"Recife","ESCOLA MUNICIPAL BOA ESPERANCA",3,1
"Recife","ESCOLA MUNICIPAL PEDRINHO",3,1
"Recife","ESCOLA MUNICIPAL CREUSA DE FREITAS CAVALCANTI",3,1
"Recife","ESCOLA MUNICIPAL CASARAO DO BARBALHO",3,1
"Recife","ESCOLA MUNICIPAL CELIA ARRAES",3,1
"Recife","ESCOLA MUNICIPAL DOS TORROES",3,1
"Recife","EMTI ARRAIAL NOVO DO BOM JESUS",3,1
"Recife","ESCOLA MUNICIPAL ENGENHO DO MEIO",3,1
"Recife","ESCOLA MUNICIPAL PAPA JOAO XXIII",3,1
"Recife","EMTI DIVINO ESPIRITO SANTO",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR SAMUEL GONCALVES",3,1
"Recife","ESCOLA MUNICIPAL DOUTOR EBENEZER GUEIROS",3,1
"Recife","ESCOLA MUNICIPAL JOAO PESSOA GUERRA",3,1
"Recife","ESCOLA MUNICIPAL SAO DOMINGOS",3,1
"Recife","ESCOLA MUNICIPAL HENFIL",3,1
"Recife","ESCOLA MUNICIPAL ALDA ROMEU",3,1
"Recife","EMTI DA MANGABEIRA",3,1
"Recife","ESCOLA MUNICIPAL LUIZ LUA GONZAGA",3,1
"Recife","ESCOLA MUNICIPAL NOVA AURORA",3,1
"Recife","ESCOLA MUNICIPAL NOVO HORIZONTE",3,1
"Recife","EMTI PAULO VI",3,1
"Recife","EMTI ANTONIO HERACLIO DO REGO",3,1
"Recife","ESCOLA MUNICIPAL ANTONIO LUIZ",3,1
"Recife","ESCOLA MUNICIPAL MONSENHOR VIANA",3,1
"Recife","ESCOLA MUNICIPAL SAO JOAO BATISTA",3,1
"Recife","ESCOLA MUNICIPAL ANA MAURICIA WANDERLEY",3,1
"Recife","ESCOLA MUNICIPAL ANTONIO TIBURCIO",3,1
"Recife","ESCOLA MUNICIPAL COMPOSITOR LEVINO FERREIRA",3,1
"Recife","ESCOLA MUNICIPAL DEUS E AMOR",3,1
"Recife","ESCOLA MUNICIPAL ANITA PAES BARRETO",3,1
"Recife","ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA",3,1
"Recife","ESCOLA MUNICIPAL IRMA TEREZINHA BATISTA PROJ NOVO VIVER",3,1
"Recife","ESCOLA MUNICIPAL PINTOR LULA CARDOSO AYRES",3,1
"Recife","ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO",3,1
"Recife","ESCOLA MUNICIPAL JORDAO BAIXO",3,1
"Recife","ESCOLA MUNICIPAL FERNANDO SANTA CRUZ",3,1
"Recife","EMTI NADIR COLACO",3,1
"Recife","ESCOLA MUNICIPAL NOVA DESCOBERTA",3,1
"Recife","ESCOLA MUNICIPAL CRISTIANO CORDEIRO",3,1
"Recife","ESCOLA MUNICIPAL KARLA PATRICIA",3,1
"Recife","ESCOLA MUNICIPAL INES SOARES DE LIMA",3,1
"Recife","ESCOLA MUNICIPAL NOSSA SENHORA DA PENHA",3,1
"Recife","ESCOLA MUNICIPAL MANOEL ROLIM",3,1
"Recife","ESCOLA MUNICIPAL SEVERINA BERNADETE TEIXEIRA",3,1
"Recife","ESCOLA MUNICIPAL PADRE DONINO",3,1
"Recife","ESCOLA MUNICIPAL SANTO AMARO SEVERINO GOMES BRIA",3,1
"Recife","ESCOLA MUNICIPAL SITIO DO CEU",3,1
"Recife","ESCOLA MUNICIPAL ALTO DO MARACANA",3,1
"Recife","ESCOLA MUNICIPAL RENATO ACCIOLY CARNEIRO CAMPOS",3,1
"Recife","ESCOLA MUNICIPAL FLORESTAN FERNANDES",3,1
"Recife","ESCOLA MUNICIPAL ALTO SANTA TEREZINHA",3,1
"Recife","ESCOLA MUNICIPAL HISTORIADOR FLAVIO GUERRA",3,1
"Recife","EMTI NOSSA SENHORA DO PILAR",3,1
"Recife","CRECHE MUNICIPAL BIDO KRAUSE",3,1
"Recife","ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL CEAPE",3,1
"Recife","CRECHE ESC RECIFE MENINO JESUS DE CASA FORTE",3,1
"Recife","ESCOLA MUNICIPAL ALTO DO REFUGIO IVAN NEVES",3,1
"Recife","CRECHE MUNICIPAL MARDONIO COELHO",3,1
"Recife","CRECHE MUNICIPAL SAO DOMINGOS SAVIO",3,1
"Recife","CRECHE MUNICIPAL CAJUEIRO",3,1
"Recife","CRECHE MUNICIPAL FLOR DA COMUNIDADE",3,1
"Recife","CRECHE MUNICIPAL CRIANCA FELIZ",3,1
"Recife","CRECHE ESC RECIFE NOSSA SENHORA DAS DORES",3,1
"Recife","CMEI CMEI CREUSA ARCOVERDE DE FREITAS CAVALCANTI",3,1
"Recife","CRECHE MUNICIPAL VOVO ARTUR",3,1
"Recife","CRECHE MUNICIPAL UNIDOS VENCEREMOS",3,1
"Recife","CRECHE MUNICIPAL ZACARIAS DO REGO MACIEL",3,1
"Recife","CRECHE MUNICIPAL FLOR DO BAIRRO DA GUABIRABA",3,1
"Recife","CRECHE MUNICIPAL WALDEMAR DE SOUZA CABRAL",3,1
"Recife","CRECHE MUNICIPAL AME AS CRIANCAS",3,1
"Recife","CRECHE MUNICIPAL SAO JOAO",3,1
"Recife","CMEI MAEZINHA DO COQUE",3,1
"Recife","CRECHE MUNICIPAL SONHO DO POVO",3,1
"Recife","CRECHE MUNICIPAL ROSA SELVAGEM",3,1
"Recife","CMEI BRASILIA TEIMOSA",3,1
"Recife","CRECHE MUNICIPAL RECIFE 2000",3,1
"Recife","CMEI SEMENTINHA DO SKYLAB",3,1
"Recife","CRECHE MUNICIPAL FUTURO DO AMANHA",3,1
"Recife","CMEI NOSSO SENHOR JESUS DO BONFIM",3,1
"Recife","CMEI JESUS DE NAZARE",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR ENALDO MANOEL DE SOUZA",3,1
"Recife","CRECHE MUNICIPAL NOSSA SENHORA AUXILIADORA",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL DEUS E AMOR",3,1
"Recife","CRECHE ESC RECIFE SANTA LUZIA",3,1
"Recife","CRECHE MUNICIPAL WALDIR SAVLUSCHINSKE",3,1
"Recife","EMTI PROFESSOR ANTONIO DE BRITO ALVES",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL NOVO HORIZONTE",3,1
"Recife","CRECHE MUNICIPAL E LUTANDO QUE SE CONQUISTA",3,1
"Recife","CRECHE MUNICIPAL MENINO JESUS DA BOMBA GRANDE",3,1
"Recife","ESCOLA MUNICIPAL DARCY RIBEIRO",3,1
"Recife","CRECHE MUNICIPAL SENADOR PAULO GUERRA",3,1
"Recife","CRECHE MUNICIPAL PADRE LOURENCO",3,1
"Recife","ESCOLA MUNICIPAL VILA SANTA LUZIA",3,1
"Recife","ESCOLA MUNICIPAL MARLUCE SANTIAGO DA SILVA",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR RICARDO GAMA",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR POTIGUAR MATOS",3,1
"Recife","ESCOLA MUNICIPAL PROFESSOR SOLANO MAGALHAES",3,1
"Recife","ESCOLA MUNICIPAL 27 DE NOVEMBRO",3,1
"Recife","ESCOLA MUNICIPAL PROF JANDIRA BOTELHO PEREIRA DA COSTA",3,1
"Recife","ESCOLA MUNICIPAL DINA DE OLIVEIRA",3,1
"Recife","ESCOLA MUNICIPAL ENGENHEIRO HENOCH COUTINHO DE MELO",3,1
"Recife","CRECHE ESC RECIFE CRECHE ESCOLA RECIFE DO IBURA",3,1
"Recife","CRECHE ESC RECIFE SITIO DO CARDOSO",3,1
"Recife","CRECHE MUNICIPAL CRECHE MUNICIPAL DO JORDAO BAIXO",3,1
"Recife","CRECHE MUNICIPAL DO BONGI",3,1
"Recife","CRECHE MUNICIPAL DA TORRE",3,1
"Recife","CMEI DA MANGUEIRA",3,1
"Recife","CRECHE MUNICIPAL DE AFOGADOS",3,1
"Recife","CRECHE MUNICIPAL RODA DE FOGO",3,1
"Recife","CRECHE MUNICIPAL TIA EMILIA",3,1
"Recife","CRECHE MUNICIPAL CASINHA AZUL",3,1
"Recife","CMEI CMEI NOVO PINA",3,1
"Recife","CRECHE MUNICIPAL VINDE A MIM AS CRIANCINHAS",3,1
"Recife","CRECHE MUNICIPAL JOAO EUGENIO",3,1
"Recife","EMTI PROFESSOR JOAO BATISTA LIPPO NETO",3,1
