ano,id_municipio,localizacao,rede,atu_ei,atu_ei_creche,atu_ei_pre_escola,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_ef_1_ano,atu_ef_2_ano,atu_ef_3_ano,atu_ef_4_ano,atu_ef_5_ano,atu_ef_6_ano,atu_ef_7_ano,atu_ef_8_ano,atu_ef_9_ano,atu_ef_turmas_unif_multi_fluxo,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,atu_em_nao_seriado,had_ei,had_ei_creche,had_ei_pre_escola,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_ef_1_ano,had_ef_2_ano,had_ef_3_ano,had_ef_4_ano,had_ef_5_ano,had_ef_6_ano,had_ef_7_ano,had_ef_8_ano,had_ef_9_ano,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,had_em_nao_seriado,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_ef_1_ano,tdi_ef_2_ano,tdi_ef_3_ano,tdi_ef_4_ano,tdi_ef_5_ano,tdi_ef_6_ano,tdi_ef_7_ano,tdi_ef_8_ano,tdi_ef_9_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_ef_1_ano,taxa_aprovacao_ef_2_ano,taxa_aprovacao_ef_3_ano,taxa_aprovacao_ef_4_ano,taxa_aprovacao_ef_5_ano,taxa_aprovacao_ef_6_ano,taxa_aprovacao_ef_7_ano,taxa_aprovacao_ef_8_ano,taxa_aprovacao_ef_9_ano,taxa_aprovacao_em,taxa_aprovacao_em_1_ano,taxa_aprovacao_em_2_ano,taxa_aprovacao_em_3_ano,taxa_aprovacao_em_4_ano,taxa_aprovacao_em_nao_seriado,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_ef_1_ano,taxa_reprovacao_ef_2_ano,taxa_reprovacao_ef_3_ano,taxa_reprovacao_ef_4_ano,taxa_reprovacao_ef_5_ano,taxa_reprovacao_ef_6_ano,taxa_reprovacao_ef_7_ano,taxa_reprovacao_ef_8_ano,taxa_reprovacao_ef_9_ano,taxa_reprovacao_em,taxa_reprovacao_em_1_ano,taxa_reprovacao_em_2_ano,taxa_reprovacao_em_3_ano,taxa_reprovacao_em_4_ano,taxa_reprovacao_em_nao_seriado,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_ef_1_ano,taxa_abandono_ef_2_ano,taxa_abandono_ef_3_ano,taxa_abandono_ef_4_ano,taxa_abandono_ef_5_ano,taxa_abandono_ef_6_ano,taxa_abandono_ef_7_ano,taxa_abandono_ef_8_ano,taxa_abandono_ef_9_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,taxa_abandono_em_nao_seriado,tnr_ef,tnr_ef_anos_iniciais,tnr_ef_anos_finais,tnr_ef_1_ano,tnr_ef_2_ano,tnr_ef_3_ano,tnr_ef_4_ano,tnr_ef_5_ano,tnr_ef_6_ano,tnr_ef_7_ano,tnr_ef_8_ano,tnr_ef_9_ano,tnr_em,tnr_em_1_ano,tnr_em_2_ano,tnr_em_3_ano,tnr_em_4_ano,tnr_em_nao_seriado,dsu_ei,dsu_ei_creche,dsu_ei_pre_escola,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em,dsu_ep,dsu_eja,dsu_ee,afd_ei_grupo_1,afd_ei_grupo_2,afd_ei_grupo_3,afd_ei_grupo_4,afd_ei_grupo_5,afd_ef_grupo_1,afd_ef_grupo_2,afd_ef_grupo_3,afd_ef_grupo_4,afd_ef_grupo_5,afd_ef_anos_iniciais_grupo_1,afd_ef_anos_iniciais_grupo_2,afd_ef_anos_iniciais_grupo_3,afd_ef_anos_iniciais_grupo_4,afd_ef_anos_iniciais_grupo_5,afd_ef_anos_finais_grupo_1,afd_ef_anos_finais_grupo_2,afd_ef_anos_finais_grupo_3,afd_ef_anos_finais_grupo_4,afd_ef_anos_finais_grupo_5,afd_em_grupo_1,afd_em_grupo_2,afd_em_grupo_3,afd_em_grupo_4,afd_em_grupo_5,afd_eja_fundamental_grupo_1,afd_eja_fundamental_grupo_2,afd_eja_fundamental_grupo_3,afd_eja_fundamental_grupo_4,afd_eja_fundamental_grupo_5,afd_eja_medio_grupo_1,afd_eja_medio_grupo_2,afd_eja_medio_grupo_3,afd_eja_medio_grupo_4,afd_eja_medio_grupo_5,ird_baixa_regularidade,ird_media_baixa,ird_media_alta,ird_alta,ied_ef_nivel_1,ied_ef_nivel_2,ied_ef_nivel_3,ied_ef_nivel_4,ied_ef_nivel_5,ied_ef_nivel_6,ied_ef_anos_iniciais_nivel_1,ied_ef_anos_iniciais_nivel_2,ied_ef_anos_iniciais_nivel_3,ied_ef_anos_iniciais_nivel_4,ied_ef_anos_iniciais_nivel_5,ied_ef_anos_iniciais_nivel_6,ied_ef_anos_finais_nivel_1,ied_ef_anos_finais_nivel_2,ied_ef_anos_finais_nivel_3,ied_ef_anos_finais_nivel_4,ied_ef_anos_finais_nivel_5,ied_ef_anos_finais_nivel_6,ied_em_nivel_1,ied_em_nivel_2,ied_em_nivel_3,ied_em_nivel_4,ied_em_nivel_5,ied_em_nivel_6,icg_nivel_1,icg_nivel_2,icg_nivel_3,icg_nivel_4,icg_nivel_5,icg_nivel_6
2022,2611606,total,municipal,18.2,18.2,18.3,22.1,21.2,28.4,20.2,20.5,21.5,21.7,22.3,28.5,28.2,29.1,27.9,15.7,,,,,,,6.4,10.2,4.5,4.8,4.5,5.6,4.5,4.5,4.5,4.5,4.5,5.6,5.7,5.7,5.7,,,,,,,16.2,13.9,24.8,10.3,9.9,12.5,14.1,21.6,28.5,25.5,24.0,19.8,,,,,,94.7,94.4,95.7,94.9,96.5,92.3,93.7,94.5,96.2,95.2,94.4,97.1,,,,,,,4.9,5.2,3.6,4.4,3.2,7.3,6.0,5.1,3.2,4.0,4.9,2.1,,,,,,,0.4,0.4,0.7,0.7,0.3,0.4,0.3,0.4,0.6,0.8,0.7,0.8,,,,,,,2.3,2.3,2.5,2.6,2.4,2.4,2.2,1.8,1.9,2.6,2.4,3.4,,,,,,,98.2,97.4,98.7,99.4,99.4,99.7,,,100.0,,84.7,1.1,8.5,4.0,1.7,75.6,1.0,19.2,3.7,0.5,84.5,1.0,10.0,3.8,0.7,44.0,1.0,51.6,3.0,0.4,,,,,,20.8,0.3,74.2,4.7,0.0,,,,,,1.0,9.0,60.9,29.1,23.8,6.8,40.9,22.5,3.3,2.7,29.0,5.5,43.9,19.2,1.5,0.9,6.8,9.9,33.6,33.1,8.8,7.8,,,,,,,15.2,41.2,12.5,3.0,26.5,1.6
2022,2611606,urbana,municipal,18.2,18.2,18.3,22.1,21.2,28.4,20.2,20.5,21.5,21.7,22.3,28.5,28.2,29.1,27.9,15.7,,,,,,,6.4,10.2,4.5,4.8,4.5,5.6,4.5,4.5,4.5,4.5,4.5,5.6,5.7,5.7,5.7,,,,,,,16.2,13.9,24.8,10.3,9.9,12.5,14.1,21.6,28.5,25.5,24.0,19.8,,,,,,94.7,94.4,95.7,94.9,96.5,92.3,93.7,94.5,96.2,95.2,94.4,97.1,,,,,,,4.9,5.2,3.6,4.4,3.2,7.3,6.0,5.1,3.2,4.0,4.9,2.1,,,,,,,0.4,0.4,0.7,0.7,0.3,0.4,0.3,0.4,0.6,0.8,0.7,0.8,,,,,,,2.3,2.3,2.5,2.6,2.4,2.4,2.2,1.8,1.9,2.6,2.4,3.4,,,,,,,98.2,97.4,98.7,99.4,99.4,99.7,,,100.0,,84.7,1.1,8.5,4.0,1.7,75.6,1.0,19.2,3.7,0.5,84.5,1.0,10.0,3.8,0.7,44.0,1.0,51.6,3.0,0.4,,,,,,20.8,0.3,74.2,4.7,0.0,,,,,,1.0,9.0,60.9,29.1,23.8,6.8,40.9,22.5,3.3,2.7,29.0,5.5,43.9,19.2,1.5,0.9,6.8,9.9,33.6,33.1,8.8,7.8,,,,,,,15.2,41.2,12.5,3.0,26.5,1.6
2021,2611606,urbana,municipal,18.3,17.8,18.5,22.2,21.6,29.1,20.1,21.4,21.7,22.7,22.1,29.3,29.6,28.2,29.0,14.8,,,,,,,6.3,10.1,4.4,4.7,4.5,5.7,4.5,4.5,4.5,4.5,4.5,5.8,5.8,5.8,5.4,,,,,,,17.8,15.6,26.6,5.6,9.9,12.2,21.9,25.5,29.2,28.9,27.4,19.6,,,,,,99.5,99.5,99.9,98.9,99.5,99.6,99.6,99.6,99.9,99.8,99.9,99.9,,,,,,,0.5,0.5,0.1,1.0,0.4,0.4,0.4,0.3,0.1,0.2,0.1,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,,,,,,,1.6,1.6,1.3,1.9,1.9,1.7,1.4,1.5,1.3,1.4,0.9,1.6,,,,,,,98.7,99.2,98.4,98.4,98.1,99.2,,,99.4,100.0,85.2,0.9,10.2,2.3,1.4,74.2,0.9,20.2,2.8,1.9,83.7,1.1,10.3,2.9,2.0,42.8,0.4,53.2,2.7,0.9,,,,,,20.7,0.1,73.9,4.8,0.5,,,,,,0.3,8.8,62.3,28.6,26.6,7.3,35.8,24.0,3.6,2.7,32.5,6.8,37.9,20.4,1.5,0.9,8.4,8.1,32.8,34.3,9.2,7.2,,,,,,,15.0,37.8,10.9,3.4,30.0,2.9
2021,2611606,total,municipal,18.3,17.8,18.5,22.2,21.6,29.1,20.1,21.4,21.7,22.7,22.1,29.3,29.6,28.2,29.0,14.8,,,,,,,6.3,10.1,4.4,4.7,4.5,5.7,4.5,4.5,4.5,4.5,4.5,5.8,5.8,5.8,5.4,,,,,,,17.8,15.6,26.6,5.6,9.9,12.2,21.9,25.5,29.2,28.9,27.4,19.6,,,,,,99.5,99.5,99.9,98.9,99.5,99.6,99.6,99.6,99.9,99.8,99.9,99.9,,,,,,,0.5,0.5,0.1,1.0,0.4,0.4,0.4,0.3,0.1,0.2,0.1,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,,,,,,,1.6,1.6,1.3,1.9,1.9,1.7,1.4,1.5,1.3,1.4,0.9,1.6,,,,,,,98.7,99.2,98.4,98.4,98.1,99.2,,,99.4,100.0,85.2,0.9,10.2,2.3,1.4,74.2,0.9,20.2,2.8,1.9,83.7,1.1,10.3,2.9,2.0,42.8,0.4,53.2,2.7,0.9,,,,,,20.7,0.1,73.9,4.8,0.5,,,,,,0.3,8.8,62.3,28.6,26.6,7.3,35.8,24.0,3.6,2.7,32.5,6.8,37.9,20.4,1.5,0.9,8.4,8.1,32.8,34.3,9.2,7.2,,,,,,,15.0,37.8,10.9,3.4,30.0,2.9
